Stock Code,Company,Update time,Author,Texts,Read,Comments,情绪得分,URL
TSLA,特斯拉,2024/4/4 23:44,特斯拉资讯,资讯特斯拉开始在德国生产出口到印度的汽车,3080,11,5,"https://guba.eastmoney.com/news,ustsla,1414818162.html"
TSLA,特斯拉,2024/4/4 22:57,人生不设限,暗搓搓涨起来了,32,0,7,"https://guba.eastmoney.com/news,ustsla,1414823732.html"
TSLA,特斯拉,2024/4/4 22:16,趋势王777,特斯拉进入印度，印度市场未来将超越中国市场。,46,0,7,"https://guba.eastmoney.com/news,ustsla,1414821573.html"
TSLA,特斯拉,2024/4/4 22:15,特斯拉资讯,资讯交付量录得灾难性表现 特斯拉“大空头”预测未来股价将跌九成,1.8万,45,4.5,"https://guba.eastmoney.com/news,ustsla,1414774698.html"
TSLA,特斯拉,2024/4/4 22:04,特斯拉资讯,资讯特斯拉版“遥遥领先”来了！新车采用全新组装工艺 百年来造车技术最大变革？,7.0万,211,6.5,"https://guba.eastmoney.com/news,ustsla,1414268058.html"
TSLA,特斯拉,2024/4/4 22:01,星云123321,特斯拉气数探微,615,0,6.5,https://caifuhao.eastmoney.com/news/20240404205835642813630?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,2024/4/4 21:36,智通财经,传特斯拉(TSLA.US)将在印度寻找建厂地点 投资高达30亿美元,264,1,5,https://caifuhao.eastmoney.com/news/20240404001742415733320?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,2024/4/4 21:32,永不言败喔,印度是全球人口第一大国，在此设厂是特斯拉电车全球化的重要举措[赞][看多],47,0,7,"https://guba.eastmoney.com/news,ustsla,1414819013.html"
TSLA,特斯拉,2024/4/4 21:29,新作龙一,特斯拉这个位置不看空,408,2,6,"https://guba.eastmoney.com/news,ustsla,1414812928.html"
TSLA,特斯拉,2024/4/4 21:15,特斯拉资讯,资讯特斯拉闯荡印度：4月考察工厂选址 准备生产“Model 2”出口全球,2450,5,5,"https://guba.eastmoney.com/news,ustsla,1414754874.html"
TSLA,特斯拉,2024/4/4 21:13,大嘴banker,美股盘前：三大期指全线上涨，多家芯片巨头回应地震影响,354,0,5,https://caifuhao.eastmoney.com/news/20240404211340506219840?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,2024/4/4 20:35,老沙_股市早8点,04.03股市早8点丨持股过节是不二选择,4269,9,6,https://caifuhao.eastmoney.com/news/20240403062406581829740?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,2024/4/4 20:27,特斯拉资讯,资讯特斯拉急了？首推“0利息”分期购车！销量“闪崩” 市值一夜蒸发近2000亿元,3.0万,95,5,"https://guba.eastmoney.com/news,ustsla,1414737322.html"
TSLA,特斯拉,2024/4/4 19:56,特斯拉资讯,资讯美股成交额前20：特斯拉拟在印度建厂 本月将派团选址,1759,2,5.5,"https://guba.eastmoney.com/news,ustsla,1414775827.html"
TSLA,特斯拉,2024/4/4 19:44,特斯拉资讯,资讯特斯拉失落小米热销 车市迎来新格局 蔚来和小鹏今日领跌,2855,16,6.5,"https://guba.eastmoney.com/news,ustsla,1414575159.html"
TSLA,特斯拉,2024/4/4 19:27,狐弧斛笏鹕醐鹄和,多看看羽毛球比赛，对理解行情很有帮助。比如大力扣杀之前，往往是先出其不意吊一个球,151,0,7,"https://guba.eastmoney.com/news,ustsla,1414813278.html"
TSLA,特斯拉,2024/4/4 18:11,特斯拉资讯,资讯马斯克：将提高特斯拉AI工程师的薪酬 以阻止OpenAI挖角,2826,6,5,"https://guba.eastmoney.com/news,ustsla,1414777016.html"
TSLA,特斯拉,2024/4/4 18:09,苹果资讯,资讯“七巨头”大分化！苹果、特斯拉“掉队”,5106,2,6.5,"https://guba.eastmoney.com/news,usaapl,1414806958.html"
TSLA,特斯拉,2024/4/4 17:54,狠人顾沁禾,买进持有待风起，涨势不止浪升腾，特斯拉再度决战股价之巅！,334,0,4.5,https://caifuhao.eastmoney.com/news/20240404175414113527720?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,2024/4/4 17:43,股友96c5V82886,大熊股，苹果正在布其局后尘。,90,0,5.5,"https://guba.eastmoney.com/news,ustsla,1414809081.html"
