Stock Code,Company,Update time,Author,Texts,Likes,Comments,情绪得分,URL,,,
2594,比亚迪,2024/4/8 23:50, 陶朱公的投资笔记,比亚迪：我赚300.4亿上汽集团：我赚141.1亿理想汽车：我赚117亿华晨中国：我赚77.4亿长城汽车：我赚70.2亿吉利汽车：我赚53.1亿广汽集团：我赚44.3亿北京汽车：我赚30.3亿赛力斯：我赚-21亿~-27亿零跑汽车：我赚-42.2亿小鹏汽车：我赚-103.8亿蔚来：我赚-211.5亿雅迪：各位大哥，我赚26.4亿 ,0,0,5,https://xueqiu.com/8505213984/285173558,,,
2594,比亚迪,2024/4/8 23:08, 西门笨小孩,4月8日，星期一，阴转多云，气温15-22C*这个小长假我终于踏上了中国景观大道318，主要是解决一下肩部受伤之后的不适，虽然上次在省骨科医院治疗，但是恢复不是太理想。就到国医大师那里去求助一下传统医术。今年的春天已经快进入暮春季节了，但是山区还是偶见春花。消息面上：米国财长耶伦老太再次来访，美财政部部长耶伦抵达广州，财政部副部长廖岷与耶伦握手并交谈网页链接。这次会晤当然引起了双方高度重视，何立峰在广州会见耶伦网页链接。央行设科技创新和技术改造再贷款，额度5000亿利率1.75%网页链接。黄金无疑是近期最靓的仔，历史新高！首饰金价最高达每克710元网页链接。马斯克否认特斯拉放弃低价汽车，宣布8月8日推出自动驾驶出租车网页链接。行情方面：今天的行情多方继续不敌，颓势尽显。上涨家数797家，下跌家数4518家，涨停59家，跌停51家。相对靓眼的板块贵金属，电力，酒店及餐饮，公路铁路运输汽车整车等板块。今天继续蛰伏，静待机会。今天截至收盘报212.00元，1.84%今天截至收盘报7.25元，1.76%今天截至收盘报4.55元，2.16%今天市值回撤1.3%今天无成交记录   本日记仅作记录，无任何诱导暗示买卖的目的。您的鼓励是对我最大的支持,1,0,5.5,https://xueqiu.com/9452009609/285170522,,,
2594,比亚迪,2024/4/8 23:04, 麻瓜价投,小日子确实被打趴下就开始向你学习了能屈能伸。所以降服对面唯一的方法就是比他强，加油全球第一大车厂丰田，被曝将用上华为智驾。出人意料，却又在情理之中。出人意料的是，即便在国内，还有传统车企不甘将“灵魂”上交华为。日系老大丰田，却一马当先，率先“投华”。有网友感慨，真没想到，第一个吃螃蟹的外资车企，会是以保守著称的丰田。,1,3,5.5,https://xueqiu.com/5669998349/285170243,,,
2594,比亚迪,2024/4/8 22:42, 戴维斯双击的快感,比亚迪在sixty的十万台意向订单被取消 hertz 老板因为订了大量特斯拉被迫离职，只能说 电动车已经欧洲熄火,1,0,1.5,https://xueqiu.com/9035890228/285168131,,,
2594,比亚迪,2024/4/8 22:34, 围棋投研,每天跟踪下重要事件，不一定全，欢迎补充。1.SNE Research：LG新能源2月共销售了12.7吉瓦时的电动汽车电池，占全球市场的13.7%。宁德时代以38.4%的市场份额依然排名第一，比亚迪下滑至第三位，市场份额为13.1%。2.智己汽车旗下全新纯电动中型轿车L6开启预售，官方指导价格为不超过23-不超过33万元，其中1000km固态电池光年版为不超过33万元。3.上汽集团3月份销售整车38.1万辆，同比增长8.4%；上汽新能源汽车销量8.5万辆，同比增长30%。4.丰田与中国五矿就车载动力电池梯次利用和资源循环业务达成合作。5.工程机械工业协会：对挖掘机主要制造企业统计，3月销售各类挖掘机24980台，同比下降2.34%，其中国内15188台，同比增长9.27%；出口9792台，同比下降16.2%。6.协鑫光电叠层组件，“效率、尺寸”再一次双双打破世界纪录，实现1.71㎡、稳态效率26.36%。/点评：前几天好像有位球友问过我关于比亚迪电池份额的问题，其实关键就是看比亚迪新能源车占比，当然后面还有个看点就是小米标准版的放量情况，我自己还是会笃定于宁德的产业地位。说到宁德，智己L6为何受关注，本质就是固态电池（第一代准确地说应该是半固态电池）对宁德可能形成冲击。发布会倒没有具体聊，只说12分钟续航即可增加400km（好像不如宁德神行的10分钟400km），CLTC续航达1000+km，有点失望。近期各个实验室或车企都在聊固态电池，但唯有龙头宁德时代很谨慎。我想曾老板自己研究了十多年固态电池，同时还有不断迭代的电池产品和忠诚客户，不至于会落后于其他厂商，不去聊肯定是还不够成熟或商业化。这块就耐心等待吧，先等智己L6正式上市后看看车主实测，现在多讨论也没啥意义。挖机数据是单月维度，看起来国内同比恢复还不错。如果是看1-3月累计数据，国内外都是下降，但国内下降幅度明显更少，其中3月带来积极因素较强。能不能持续还要观察，市场似乎对徐工和柳工更乐观，我倒是宁愿跟踪下被忽视的三一。/   ,1,3,5,https://xueqiu.com/3199838879/285167308,,,
2594,比亚迪,2024/4/8 22:25, 闷得而蜜,很多粉丝问我，对新能源、固态电池、锂电这些行业怎么看。好久没聊了，今天简单说说吧。1、上半场是电动化，下半场是智能化。2、在大模型没有出来前，汽车的智能化路还非常漫长，那么就意味着大家还可以继续在上半场多踢踢球。但是，去年大模型出来后，自动驾驶就迅速从梦想回到了现实中，Tesla率先完成了算法的切换，新版本体现出来惊人的学习和模仿能力。3、所以，大模型吹停了上半场的口令，不管你是否愿意看到，接下来，电动车的主场将进入智能化的下半场。小米汽车很可能是最后一个按照上半场规则走上舞台的车企。以后再有企业开这种发布会，就会严重掉价。4、在上半场内卷的时候，续航、充电速度等等都是卷的话术，再怎么折腾其实都不解决问题，问题都在基础设施那边，为卷而生而已。我自动驾驶能力甩你一条街，订单就会排几公里。在下半场，在强大的智能驾驶差异化面前，锂电池的里程多一点少一点、充电时间多一点少一点（也很重要，但不是主角），就不关键了，你把成本降下来，把安全性提上去就可以了。最为关键的是，锂电池把我各个车型的续航都低成本跑上去，我好普及智能驾驶。5、所以，神行电池来得真是时候。而固态电池呢，怎么看都不对劲，好像是那种球赛已经结束，但有个球迷恋恋不舍还在球场死劲呐喊。一个新能源投资的老人，不成熟的一点看法，看错的概率更大。,2,1,5,https://xueqiu.com/5672579962/285166236,,,
2594,比亚迪,2024/4/8 22:07, 谦十五,3月29日，摩根大通分析师赖以哲领导的团队发布报告指出，近日，比亚迪董事长王传福及高管层共同进行了业绩路演，管理层对比亚迪全球长期销量设定了1000万量的目标，其中一半在海外。2024年下半年-2026年比亚迪的海外产能将开始爬坡，初期阶段总产能为70-80万辆。财报显示，2023年，比亚迪境外收入达1602.22亿元，同比提升75.2%，境外收入占总营收比重达到26.6%，较2022年同期增加5.03个百分点。2023年，比亚迪乘用车出口达24.2万辆，同比增长334%。摩根大通在报告中指出，比亚迪的战略为专注于没有本土品牌的市场，如东盟、拉美、中东和非洲，同时寻找机会进入部分欧盟国家，公司的海外盈利能力仍将高于国内。@今日话题 @雪球创作者中心 @雪球访谈 @格隆汇 ,1,0,5.5,https://xueqiu.com/7451349454/285164136,,,
2594,比亚迪,2024/4/8 22:02, 龙王001,西方还在纠结要不要在电动车领域跟我们玩下去的时候，我们的电动车都已经上天了。央媒报道：我国首条也是全球首条低空航线实现了首飞，由上海丰飞航空科技有限公司自主研制，核心模组百分之百国产化的电动垂直起降航空器盛世龙，从深圳蛇口游轮母港起飞，经过20分钟的飞行，降落在珠海九州港码头。那公司预估这条航线的票价将是每座300元左右，由于是无人驾驶，所以一次可载五名乘客。对比一下现在的情况，如果打车从蛇口到九州，打车费大约是600左右，不过时间就长了，需要三个多小时。由此可见采用低空航线价格会稍微高一点，但时间优势却是非常明显，相信已经能吸引很多人了。更何况业内估计随着业务的开展，仅靠着规模效应，飞行汽车的出租费用将会降到每公里三元以内，这样这条线路将能够做到每人只需支付八十多元。成本与时间双碾压低空经济想要大发展，最重要的就是安全，否则这天上没事掉飞行器，这谁受得了。而想要做到安全，首先就是飞行器必须是无人的这才能杜绝因为人为的因素造成飞行器事故。那无人飞行器想要自主完成起飞飞行规划降落，就离不开高超的智能驾驶技术。这里除了飞行器本身质量之外，还包括各种先进的技术，比如各种雷达视觉传感器的感知，能实现自动避撞，提前感知气流变化等等。还有自主飞行控制技术，在空中遇到气流变化时能自主控制飞行器安全。以及人工智能决策技术，可以实现安全起降等等。而这一切都是我们这些年在智能电动车领域辛苦耕耘的积累结果。而低空经济又是未来经济发展最大的蛋糕之一。按照业内估计啊，到2035年将达到3.5万亿元。摩根史丹利发表的预测，到2050年全球飞行汽车市场将达到惊人的9万亿美元。我们已经率先吃了第一口。那以咱们工业人的性子，这9万亿美元的大蛋糕能放过吗？ ,19,14,6,https://xueqiu.com/7656392392/285163551,,,
2594,比亚迪,2024/4/8 21:53, 大唐炼金师,股东问：去年你说你心中有筛选标准，可以帮助你快速排除企业。你的筛选标准是如何考虑技术的快速变化对企业的影响？巴菲特：嗯，我们确实有自己的筛选标准，有时候那些筛选标准会让那些和我们讨论生意的人恼火，因为我们真的可以在仅依靠我们的筛选标准，在十秒钟就对90%以上的所有事情说“不”，我们对管理层也有一些筛选标准。关于技术的问题很简单，涉及到快速的技术变化，那就往往不能通过我们的筛选标准。我的意思是，如果一项投资的重要组成部分是技术因素，或者我们认为未来的技术的变化可能会损害现有的业务，那我们会把它看作是需要担心的事情，因此，它通过不了我们的筛选标准。我们想要我们能理解的东西，这就过滤掉了很多东西。我们希望它们能成为好的企业，想让我们能和管理层相处愉快，这意味着管理层需要一定的能力和正直的品格。我们可以很熟练的运用我们的筛选标准，通过排除自己不懂的东西，你可以变得非常有效率，在很短的时间内排除95%的想法，变得更加专注。查理?芒格：没错，我们首先必须有一个好主意，其次，这必须是一个我们能理解的好主意，就是这么简单。所以，所有的这些筛选标准，都是是针对我们自身缺乏天赋所设定的（股东笑)。节选自《巴菲特编年史》1998年伯克希尔股东大会上午场第11个问答，大唐炼金师编译。晚安各位… ,7,4,5.5,https://xueqiu.com/8959246745/285162451,,,
2594,比亚迪,2024/4/8 21:33, 布袋2,从智己l6光年版的价格来看，半固态电池不比液态电池贵多少，考虑到固态电池性能上的优势，这个价格对液态电池是吊打，现在困扰固态电池的就是产能问题了，液态电池被淘汰也就是三、四年的时间。解决了自燃的安全性问题，电车取代油车的速度会加速，预计到2030年，电车的销量要超过油车。,2,14,6.5,https://xueqiu.com/3685567226/285159736,,,
2594,比亚迪,2024/4/8 21:17, andyding,果真如我总结这款车的设计指引就是简约圆润（上汽自己的用词：简洁温润）。财联社4月8日电，智己汽车正式推出业内首个准900V超快充固态电池——第一代光年固态电池，并首搭智己全新轿车智己L6。该固态电池可实现高温不可燃、减少穿刺短路的同时，峰值充电功率达400kW，充电12分钟续航增加400km。据悉，第一代光年固态电池采用纳米尺度固态电解质包裹超高镍正极和新一代高比能硅碳负极，CLTC续航将超过1000km。 ,0,0,6,https://xueqiu.com/9080548226/285157480,,,
2594,比亚迪,2024/4/8 20:51, 闷得而蜜,比亚迪在上一轮自动驾驶中基本是看客，因为大模型横空出世，反倒帮了比亚迪大忙。 上一轮靠coding的自动驾驶，统统作废。除了Tesla，大家都站在同一条起跑线上：大模型 + BEV + 占用网络。 你激光雷达再多也没用，在大模型面前就是摆设而已。希望在这一轮马拉松，不要再掉链子了。 ,0,1,5,https://xueqiu.com/5672579962/285154679,,,
2594,比亚迪,2024/4/8 20:50, 利檀投资陈昊扬,2024年4月6号，在怒斥了某家媒体报道特斯拉取消开发低成本汽车转而在同一平台聚焦开发无人驾驶ROBOTAXI出租车为撒谎后，马斯克亲自公布2024年8月8号即将揭晓特斯拉无人驾驶ROBOTAXI，最起码证实了上述“撒谎”的新闻起码有一半是真实的。从我的朋友们在北美最近几天长时间试驾特斯拉最新版FSD的体验来看，2023年苹果在花了数十亿亿美元后做了“在可见的数年内无人驾驶无法落地”的判断并解散成立十年的汽车研发部门，OpenAI投资的自动驾驶公司GHOST AUTONOMY刚刚关闭了全球业务，理由是盈利路径不确定，这些美国顶级科技公司真金白银的判断比马斯克的大嘴更靠谱。特斯拉接下来会面临非常困难的销售前景，有可能随后几个季度一个季度比一个季度难。我也不看好特斯拉在2004年1月财报电话会上预告即将2025年推出的售价2.5万美金的MODEL 2。2.5万美金的电动车折合18万人民币，在2024年的中国市场就已经没有任何价格优势了。特斯拉率先开发的压铸一体化等降低成本的工艺创新等努力很容易被模仿，不是可持续的护城河，而且和中国的电动车竞争对手相比，特斯拉没有任何优势。,0,0,3,https://xueqiu.com/5772167703/285154595,,,
2594,比亚迪,2024/4/8 20:50, AFMarket,这个二货公司，跌停是因为膝盖软先跪了。,8,9,2.5,https://xueqiu.com/1138581716/285154540,,,
2594,比亚迪,2024/4/8 20:46, 疯子傻孑,我持有一点比亚迪，我的职业是在阿里巴巴批发市场上卖工位器具及一些定制的金属制品，如刀具架，模具工作台．．今年有两个订单是发往广东深汕合作区的比亚迪，当然并非是比亚迪直接向我订购的，而是贸易商订购，再卖给亚迪，关健是：我也是贸易商。从内心深处讲，希望比亚迪能重视采购成本这一方面问题．．,0,0,5,https://xueqiu.com/4357301121/285154098,,,
