Stock Code,Company,Update time,Author,Texts,Read,Comments,情绪得分,URL
TSLA,特斯拉,45386.988888889 ,特斯拉资讯,资讯特斯拉开始在德国生产出口到印度的汽车,3080,11,5,"https://guba.eastmoney.com/news,ustsla,1414818162.html"
TSLA,特斯拉,45386.956250000 ,人生不设限,暗搓搓涨起来了,32,0,7,"https://guba.eastmoney.com/news,ustsla,1414823732.html"
TSLA,特斯拉,45386.927777778 ,趋势王777,特斯拉进入印度，印度市场未来将超越中国市场。,46,0,7,"https://guba.eastmoney.com/news,ustsla,1414821573.html"
TSLA,特斯拉,45386.927083333 ,特斯拉资讯,资讯交付量录得灾难性表现 特斯拉“大空头”预测未来股价将跌九成,1.8万,45,4.5,"https://guba.eastmoney.com/news,ustsla,1414774698.html"
TSLA,特斯拉,45386.919444444 ,特斯拉资讯,资讯特斯拉版“遥遥领先”来了！新车采用全新组装工艺 百年来造车技术最大变革？,7.0万,211,6.5,"https://guba.eastmoney.com/news,ustsla,1414268058.html"
TSLA,特斯拉,45386.917361111 ,星云123321,特斯拉气数探微,615,0,6.5,https://caifuhao.eastmoney.com/news/20240404205835642813630?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.900000000 ,智通财经,传特斯拉(TSLA.US)将在印度寻找建厂地点 投资高达30亿美元,264,1,5,https://caifuhao.eastmoney.com/news/20240404001742415733320?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.897222222 ,永不言败喔,印度是全球人口第一大国，在此设厂是特斯拉电车全球化的重要举措[赞][看多],47,0,7,"https://guba.eastmoney.com/news,ustsla,1414819013.html"
TSLA,特斯拉,45386.895138889 ,新作龙一,特斯拉这个位置不看空,408,2,6,"https://guba.eastmoney.com/news,ustsla,1414812928.html"
TSLA,特斯拉,45386.885416667 ,特斯拉资讯,资讯特斯拉闯荡印度：4月考察工厂选址 准备生产“Model 2”出口全球,2450,5,5,"https://guba.eastmoney.com/news,ustsla,1414754874.html"
TSLA,特斯拉,45386.884027778 ,大嘴banker,美股盘前：三大期指全线上涨，多家芯片巨头回应地震影响,354,0,5,https://caifuhao.eastmoney.com/news/20240404211340506219840?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.857638889 ,老沙_股市早8点,04.03股市早8点丨持股过节是不二选择,4269,9,6,https://caifuhao.eastmoney.com/news/20240403062406581829740?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.852083333 ,特斯拉资讯,资讯特斯拉急了？首推“0利息”分期购车！销量“闪崩” 市值一夜蒸发近2000亿元,3.0万,95,5,"https://guba.eastmoney.com/news,ustsla,1414737322.html"
TSLA,特斯拉,45386.830555556 ,特斯拉资讯,资讯美股成交额前20：特斯拉拟在印度建厂 本月将派团选址,1759,2,5.5,"https://guba.eastmoney.com/news,ustsla,1414775827.html"
TSLA,特斯拉,45386.822222222 ,特斯拉资讯,资讯特斯拉失落小米热销 车市迎来新格局 蔚来和小鹏今日领跌,2855,16,6.5,"https://guba.eastmoney.com/news,ustsla,1414575159.html"
TSLA,特斯拉,45386.810416667 ,狐弧斛笏鹕醐鹄和,多看看羽毛球比赛，对理解行情很有帮助。比如大力扣杀之前，往往是先出其不意吊一个球,151,0,7,"https://guba.eastmoney.com/news,ustsla,1414813278.html"
TSLA,特斯拉,45386.757638889 ,特斯拉资讯,资讯马斯克：将提高特斯拉AI工程师的薪酬 以阻止OpenAI挖角,2826,6,5,"https://guba.eastmoney.com/news,ustsla,1414777016.html"
TSLA,特斯拉,45386.756250000 ,苹果资讯,资讯“七巨头”大分化！苹果、特斯拉“掉队”,5106,2,6.5,"https://guba.eastmoney.com/news,usaapl,1414806958.html"
TSLA,特斯拉,45386.745833333 ,狠人顾沁禾,买进持有待风起，涨势不止浪升腾，特斯拉再度决战股价之巅！,334,0,4.5,https://caifuhao.eastmoney.com/news/20240404175414113527720?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.738194444 ,股友96c5V82886,大熊股，苹果正在布其局后尘。,90,0,5.5,"https://guba.eastmoney.com/news,ustsla,1414809081.html"
TSLA,特斯拉,45386.702777778 ,雨天放晴k,新能车的赛道越来越卷了。4月3日，特斯拉中国宣布，针对Model3/Y车型上线限,264,3,6,https://caifuhao.eastmoney.com/news/20240403203818701624970?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.679166667 ,特斯拉资讯,资讯新能源汽车竞争如火如荼，小米、特斯拉卷向信贷,1154,6,6,"https://guba.eastmoney.com/news,ustsla,1414775642.html"
TSLA,特斯拉,45386.659722222 ,beiyixiaohai,盘久必跌,750,4,2.5,https://caifuhao.eastmoney.com/news/20240403214354725311330?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.656944444 ,hvdggbjd,奥迪汽车和华为汽车签订协议，将会采用华为智驾方案。以前特斯拉天天说他的智驾系统是,1478,7,5,https://caifuhao.eastmoney.com/news/20240403195152827914500?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.650000000 ,盖世汽车,Q1交付量惨遭滑铁卢，特斯拉跌落神坛？,333,1,5,https://caifuhao.eastmoney.com/news/20240404152007778313190?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.646527778 ,猿猴脱锁,马斯克谓之“疯狂”将为特斯拉AI工程师加薪阻止OpenAI挖角科创板日报宋子乔责,231,0,3.5,https://caifuhao.eastmoney.com/news/20240404153131524102810?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.645138889 ,特斯拉资讯,资讯远逊预期！特斯拉Q1交付量跌破40万 近四年首次录得同比下降,3.1万,88,5.5,"https://guba.eastmoney.com/news,ustsla,1414344867.html"
TSLA,特斯拉,45386.632638889 ,特斯拉资讯,资讯市值一夜蒸发近2000亿元！特斯拉销量“闪崩” 分析师：“一场绝对的灾难”！,1.3万,24,6.5,"https://guba.eastmoney.com/news,ustsla,1414709308.html"
TSLA,特斯拉,45386.606944444 ,盖世汽车,今年底挪威纯电动汽车保有量或将超越汽油车,101,0,6,https://caifuhao.eastmoney.com/news/20240404143425990397850?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.602083333 ,特斯拉资讯,资讯汽车早报 |特斯拉首次推出0利息金融政策 理想汽车回应王兴减持,1647,4,5,"https://guba.eastmoney.com/news,ustsla,1414782632.html"
TSLA,特斯拉,45386.535416667 ,专注于研究人性,从马斯克这两天对雷军和小米的评价上，我终于明白了马斯克是一个怎样的人。他对小米的,1.3万,151,5.5,https://caifuhao.eastmoney.com/news/20240402151332451932620?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.502777778 ,特斯拉资讯,资讯乘联会：2024年3月特斯拉中国销量为89064辆,1.1万,72,5,"https://guba.eastmoney.com/news,ustsla,1414315787.html"
TSLA,特斯拉,45386.494444444 ,智通财经,大手笔加仓！“木头姐”重申特斯拉(TSLA.US)2000美元目标股价,1121,3,7,https://caifuhao.eastmoney.com/news/20240404073902048326610?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.488194444 ,于老大先生,解决好小区以及车位建设充电桩问题是关键,79,0,6,https://caifuhao.eastmoney.com/news/20240404114347343182850?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
TSLA,特斯拉,45386.487500000 ,盖世汽车,Rivian第一季度交付量超过预期,116,0,8,https://caifuhao.eastmoney.com/news/20240404114239329930950?from=guba&name=54m55pav5ouJ5ZCn&gubaurl=aHR0cHM6Ly9ndWJhLmVhc3Rtb25leS5jb20vbGlzdCx1c3RzbGEuaHRtbA%3D%3D
